Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
667,-0.63,9.5,0,9.5,80
668,-0.59,8.9,0,-3.8,80
669,-0.68,10.1,0,8.2,80
670,-0.63,9.4,0,-4.8,50
671,-1.01,15.1,0,38,53
672,-0.51,7.7,0,-49.7,-80
673,-0.02,0.3,0,-48.9,-80
674,0.42,-6.3,0,-44,-80
675,0.93,-14,0,-51.4,-80
676,1.18,-17.8,0,-25.2,-80
677,1.49,-22.4,0,-30.6,-80
678,1.7,-25.5,0,-21,-80
679,1.66,-24.9,0,3.9,-50
680,1.52,-22.8,0,14.2,-50
681,1.39,-20.8,0,12.9,-50
682,1.31,-19.6,0,8.2,-50
683,1.02,-15.3,0,28.5,80
684,0.74,-11.1,0,28.2,80
685,0.53,-7.9,0,21.6,80
686,0.3,-4.6,0,22,80
687,0.2,-3.1,0,10.1,80
688,0.04,-0.6,0,16.1,80
689,-0.59,8.8,0,62.8,80
690,-0.62,9.2,0,3.1,50
691,-0.11,1.6,0,-50.6,-80
692,0.22,-3.2,0,-32.5,-80
693,0.8,-12,0,-58.2,-80
694,1.24,-18.5,0,-43.8,-80
695,1.6,-23.9,0,-36.1,-80
696,1.92,-28.7,0,-32,-80
697,2.25,-33.7,0,-33.3,-80
698,1.98,-29.6,0,27.3,-50
699,1.74,-26.1,0,23.9,-50
700,1.58,-23.7,0,15.6,-50
701,1.21,-18.1,0,37.5,80
